(2018-06-26T13:44:48):	INPM,L25000066F,LASER3,SIDE B
(2018-06-26T13:44:48):	INPM,L26000066F,LASER3,SIDE B
(2018-06-26T13:44:48):	INPM,L01000066F,LASER3,SIDE B
(2018-06-26T13:44:48):	INPM,L02000066F,LASER3,SIDE B
(2018-06-26T13:45:10):	OUTM,L32090V66W,LASER3,SIDE A
(2018-06-26T13:45:10):	OUTM,L32100V66W,LASER3,SIDE A
(2018-06-26T13:45:33):	OUTM,L25000066F,LASER3,SIDE B
(2018-06-26T13:45:33):	OUTM,L26000066F,LASER3,SIDE B
(2018-06-26T13:45:33):	OUTM,L01000066F,LASER3,SIDE B
(2018-06-26T13:45:33):	OUTM,L02000066F,LASER3,SIDE B
(2018-06-26T13:51:37):	INPM,L25000066F,LASER10,SIDE A
(2018-06-26T13:51:37):	INPM,L26000066F,LASER10,SIDE A
(2018-06-26T13:51:37):	INPM,L01000066F,LASER10,SIDE A
(2018-06-26T13:51:37):	INPM,L02000066F,LASER10,SIDE A
(2018-06-26T13:54:56):	OUTM,L25000066F,LASER10,SIDE A
(2018-06-26T13:54:56):	OUTM,L26000066F,LASER10,SIDE A
(2018-06-26T13:54:56):	OUTM,L01000066F,LASER10,SIDE A
(2018-06-26T13:54:56):	OUTM,L02000066F,LASER10,SIDE A
(2018-06-26T14:01:15):	INPM,L25000066F,LASER10,SIDE B
(2018-06-26T14:01:15):	INPM,L26000066F,LASER10,SIDE B
(2018-06-26T14:01:15):	INPM,L01000066F,LASER10,SIDE B
(2018-06-26T14:01:15):	INPM,L02000066F,LASER10,SIDE B
(2018-06-26T14:02:31):	OUTM,L25000066F,LASER10,SIDE B
(2018-06-26T14:02:31):	OUTM,L26000066F,LASER10,SIDE B
(2018-06-26T14:02:31):	OUTM,L01000066F,LASER10,SIDE B
(2018-06-26T14:02:31):	OUTM,L02000066F,LASER10,SIDE B
(2018-06-27T10:04:11):	INPM,L35050V66F,LASER10,SIDE A
(2018-06-27T10:07:45):	INPM,L35060V66F,LASER10,SIDE B
(2018-06-27T10:10:11):	OUTM,L35050V66F,LASER10,SIDE A
(2018-06-27T10:10:13):	OUTM,L35060V66F,LASER10,SIDE B
